"method","K","signal_prop","rho_est","power","fdp","rep"
"DPM",2,0.2,NA,0.814891416752844,0.0217256362507759,1
"ORBIT_P",2,0.2,0.0079593168875192,0.852119958634953,0.042417199302731,1
"DPM",3,0.2,NA,0.878490175801448,0.0122093023255814,1
"ORBIT_P",3,0.2,-0.00198650100662786,0.91416752843847,0.0396523628462792,1
"DPM",4,0.2,NA,0.913133402275078,0.0117515388919978,1
"ORBIT_P",4,0.2,-0.00136717986741078,0.947776628748707,0.0428198433420366,1
"DPM",5,0.2,NA,0.914684591520165,0.00785193494111049,1
"ORBIT_P",5,0.2,0.00296087260254632,0.958117890382627,0.0403935784567582,1
"DPM",6,0.2,NA,0.94364012409514,0.00327689787001638,1
"ORBIT_P",6,0.2,0.00166140380646238,0.975180972078594,0.0402035623409669,1
"DPM",7,0.2,NA,0.94105480868666,0.000549148819330038,1
"ORBIT_P",7,0.2,-0.000861117487006273,0.973629782833506,0.0417302798982188,1
"DPM",8,0.2,NA,0.955532574974147,0.000540832882639265,1
"ORBIT_P",8,0.2,0.00103167860832966,0.977249224405377,0.0396341463414634,1
"DPM",9,0.2,NA,0.945708376421924,0.000546448087431694,1
"ORBIT_P",9,0.2,0.00190876286009212,0.978800413650465,0.0395738203957382,1
"DPM",10,0.2,NA,0.943123061013444,0,1
"ORBIT_P",10,0.2,0.000368606795433354,0.980868665977249,0.0380324543610548,1
"DPM",11,0.2,NA,0.961737331954498,0,1
"ORBIT_P",11,0.2,6.81340793186251e-05,0.988624612202689,0.0416040100250627,1
"DPM",12,0.2,NA,0.958634953464323,0,1
"ORBIT_P",12,0.2,0.000316872275226311,0.986556359875905,0.045045045045045,1
"DPM",13,0.2,NA,0.957083764219235,0,1
"ORBIT_P",13,0.2,-2.1248224974877e-06,0.987590486039297,0.0430861723446894,1
"DPM",14,0.2,NA,0.957600827300931,0,1
"ORBIT_P",14,0.2,-0.00106566724156797,0.987590486039297,0.0397184514831574,1
"DPM",15,0.2,NA,0.964839710444674,0,1
"ORBIT_P",15,0.2,-0.000678381668157932,0.988107549120993,0.0416248746238716,1
"DPM",16,0.2,NA,0.964322647362978,0,1
"ORBIT_P",16,0.2,-0.00074040991138016,0.989658738366081,0.0372233400402414,1
"DPM",17,0.2,NA,0.966390899689762,0,1
"ORBIT_P",17,0.2,-0.000520158784916565,0.992761116856256,0.03951975987994,1
"DPM",18,0.2,NA,0.961220268872802,0,1
"ORBIT_P",18,0.2,-0.000703187964785851,0.989141675284385,0.0353000504286435,1
"DPM",19,0.2,NA,0.96794208893485,0,1
"ORBIT_P",19,0.2,-0.000411920288428829,0.991726990692865,0.0327786182551689,1
"DPM",20,0.2,NA,0.953981385729059,0,1
"ORBIT_P",20,0.2,-0.000494126796855304,0.985005170630817,0.0364188163884674,1
"DPM",2,0.5,NA,0.873513735137351,0.0134290344987266,1
"ORBIT_P",2,0.5,-0.0017849066190965,0.90569905699057,0.0247240618101545,1
"DPM",3,0.5,NA,0.900164001640016,0.00947439657117076,1
"ORBIT_P",3,0.5,0.010539833648005,0.935629356293563,0.0266581360631265,1
"DPM",4,0.5,NA,0.924764247642476,0.00551146384479718,1
"ORBIT_P",4,0.5,0.0116934556895627,0.95510455104551,0.0242931937172775,1
"DPM",5,0.5,NA,0.943214432144321,0.00195227765726681,1
"ORBIT_P",5,0.5,0.00691175686787263,0.972734727347274,0.0250667762482022,1
"DPM",6,0.5,NA,0.9510045100451,0.00322303394929093,1
"ORBIT_P",6,0.5,0.00512982755154931,0.977654776547765,0.0225456036072966,1
"DPM",7,0.5,NA,0.94669946699467,0.0019451048195375,1
"ORBIT_P",7,0.5,0.00368249504609657,0.980319803198032,0.0256723716381418,1
"DPM",8,0.5,NA,0.959614596145961,0.000640478223740393,1
"ORBIT_P",8,0.5,0.00067012117450003,0.985239852398524,0.0253498276211722,1
"DPM",9,0.5,NA,0.96330463304633,0.000425441395447777,1
"ORBIT_P",9,0.5,-9.19549262708256e-05,0.989749897498975,0.0252372299616394,1
"DPM",10,0.5,NA,0.958589585895859,0.00021381227282446,1
"ORBIT_P",10,0.5,0.0017972742376521,0.986469864698647,0.0247263883259019,1
"DPM",11,0.5,NA,0.962689626896269,0.000638433709299851,1
"ORBIT_P",11,0.5,0.00123766133100346,0.987289872898729,0.0256928990491604,1
"DPM",12,0.5,NA,0.963509635096351,0.000212720697723889,1
"ORBIT_P",12,0.5,0.000806258981870143,0.989134891348914,0.0256462035541195,1
"DPM",13,0.5,NA,0.965969659696597,0.000212179079142797,1
"ORBIT_P",13,0.5,0.00106487816943517,0.988314883148832,0.027632109721662,1
"DPM",14,0.5,NA,0.963919639196392,0.000212630236019562,1
"ORBIT_P",14,0.5,0.00115211450822859,0.989749897498975,0.0264166162532769,1
"DPM",15,0.5,NA,0.969249692496925,0.000211461196870374,1
"ORBIT_P",15,0.5,0.000792742197632528,0.992824928249282,0.026141162276292,1
"DPM",16,0.5,NA,0.970479704797048,0,1
"ORBIT_P",16,0.5,0.000987163634413434,0.992619926199262,0.0259505129752565,1
"DPM",17,0.5,NA,0.97129971299713,0,1
"ORBIT_P",17,0.5,0.00113939972506939,0.993029930299303,0.0249597423510467,1
"DPM",18,0.5,NA,0.969864698646986,0,1
"ORBIT_P",18,0.5,0.0013710426140768,0.991184911849118,0.0252016129032258,1
"DPM",19,0.5,NA,0.973964739647396,0,1
"ORBIT_P",19,0.5,0.00100880918065805,0.992414924149241,0.0259557344064386,1
"DPM",20,0.5,NA,0.969864698646986,0,1
"ORBIT_P",20,0.5,0.000877025838501304,0.992824928249282,0.0237855271114695,1
"DPM",2,0.05,NA,0.68993839835729,0.0289017341040462,2
"ORBIT_P",2,0.05,0.00712450070357236,0.741273100616016,0.0623376623376623,2
"DPM",3,0.05,NA,0.792607802874743,0.0127877237851662,2
"ORBIT_P",3,0.05,0.00814717548508891,0.852156057494867,0.0503432494279176,2
"DPM",4,0.05,NA,0.885010266940452,0.00691244239631336,2
"ORBIT_P",4,0.05,0.00671915305310428,0.930184804928131,0.032051282051282,2
"DPM",5,0.05,NA,0.887063655030801,0.00689655172413793,2
"ORBIT_P",5,0.05,0.00418475966748647,0.944558521560575,0.0436590436590437,2
